00:12:51, 3090, 23
00:15:16, 8738, 02
00:37:18, 2030, 06
01:03:20, 0469, 04
01:14:26, 1101, 22
01:27:54, 4212, 06
01:34:35, 2429, 03
02:20:10, 1610, 18
02:46:03, 1141, 06
02:47:26, 2443, 19
02:49:37, 7051, 29
02:59:41, 6430, 22
03:20:34, 3768, 09
03:32:08, 0386, 06
03:45:22, 9639, 07
03:52:35, 5116, 26
03:57:09, 9568, 00
04:21:04, 7587, 29
04:23:40, 9328, 04
04:28:19, 2674, 29
04:38:32, 5381, 22
04:57:01, 2740, 14
05:15:21, 3441, 14
05:15:49, 1227, 28
06:08:39, 7200, 08
06:21:03, 7523, 14
06:41:02, 4977, 00
07:02:43, 4560, 12
07:03:37, 3269, 11
07:58:50, 5819, 08
08:31:43, 3766, 18
08:38:07, 5666, 05
08:40:41, 0416, 06
09:00:35, 3414, 01
09:18:05, 8449, 19
09:21:17, 2071, 03
09:33:34, 9788, 18
09:34:31, 5891, 09
10:01:12, 7751, 20
10:05:29, 2244, 27
10:11:10, 8884, 13
10:21:52, 9886, 13
10:23:47, 0322, 07
10:45:13, 6452, 16
10:48:35, 9227, 14
11:01:10, 5443, 26
11:29:31, 1921, 02
11:41:39, 0648, 21
11:44:05, 4913, 20
11:55:14, 3983, 21
12:13:07, 1375, 24
12:19:57, 8462, 21
12:26:13, 6374, 01
12:41:21, 1573, 08
13:23:17, 7948, 06
13:31:48, 9016, 12
13:52:37, 3231, 29
13:53:56, 7544, 16
14:02:28, 0787, 20
14:15:47, 6887, 26
14:54:35, 8659, 15
14:55:29, 6563, 12
14:56:19, 4983, 22
15:17:58, 5953, 08
15:26:59, 3700, 22
15:35:38, 2333, 08
15:47:26, 5917, 25
16:09:20, 7006, 17
16:19:34, 3645, 05
17:11:56, 8533, 02
17:26:32, 3470, 14
17:41:33, 2228, 29
18:02:01, 9425, 12
18:21:39, 0354, 03
18:49:35, 6492, 26
19:17:28, 2109, 19
19:21:22, 7312, 28
19:23:40, 1387, 02
19:52:17, 4078, 10
19:54:01, 0781, 29
19:54:50, 0369, 13
20:07:47, 1573, 22
20:17:19, 0828, 20
20:33:21, 9919, 23
20:40:10, 8588, 22
21:02:56, 1542, 25
21:10:47, 2959, 15
21:19:18, 0829, 13
21:24:23, 1667, 01
21:29:42, 9004, 14
21:38:23, 8963, 21
21:51:11, 0301, 17
22:11:24, 8604, 05
23:05:16, 4465, 09
23:05:36, 6830, 25
23:08:13, 8154, 24
23:29:57, 2367, 26
23:31:55, 3259, 19
23:34:57, 7568, 29
23:52:59, 8951, 29
