00:03:16, 7583, 28
00:10:26, 2927, 12
00:19:06, 2194, 01
00:55:24, 5634, 07
01:07:18, 0042, 17
01:09:16, 0011, 00
01:11:25, 8247, 09
01:59:25, 1574, 27
02:37:50, 0646, 01
02:46:07, 6292, 02
02:58:36, 7523, 24
02:58:54, 8485, 19
03:27:50, 6225, 13
03:47:58, 1585, 02
03:51:17, 8424, 07
04:10:13, 0018, 14
04:19:30, 9468, 11
04:38:24, 5737, 10
05:06:48, 5309, 22
05:20:10, 5606, 11
05:58:44, 5045, 25
06:24:52, 0138, 12
06:34:06, 5112, 04
06:57:56, 9757, 17
07:02:45, 1150, 02
07:15:57, 5853, 10
07:22:41, 1893, 18
08:14:25, 5614, 22
08:15:41, 7570, 08
08:15:55, 5242, 18
08:18:24, 9422, 02
08:41:03, 8866, 20
09:08:36, 6957, 17
09:17:38, 7906, 20
09:19:51, 7610, 10
09:49:27, 2938, 15
10:57:19, 3745, 26
11:05:37, 1418, 01
11:12:37, 5280, 28
11:23:31, 4855, 19
11:31:02, 9427, 18
11:48:36, 3025, 18
11:52:20, 4158, 24
12:04:13, 2980, 27
12:06:33, 1138, 03
12:06:44, 4520, 13
12:51:16, 8109, 21
13:02:55, 2519, 06
13:09:35, 3867, 04
13:11:25, 2281, 18
13:22:32, 7926, 13
13:26:52, 9822, 23
13:31:28, 0482, 18
13:40:52, 7208, 07
13:49:29, 1355, 25
14:22:41, 6071, 27
14:26:07, 5140, 16
14:44:36, 6123, 00
15:00:45, 0084, 19
15:12:20, 4910, 04
15:16:56, 8624, 21
15:21:24, 4260, 26
15:29:40, 3075, 27
15:57:07, 8947, 18
16:59:48, 9977, 02
17:13:21, 5601, 02
17:14:25, 6414, 22
17:27:45, 1828, 05
17:36:29, 1048, 15
17:38:29, 4673, 08
17:45:18, 2793, 01
17:45:55, 1179, 22
17:51:43, 8530, 02
18:05:26, 9347, 16
18:08:56, 9855, 12
18:28:43, 4070, 01
18:42:10, 1215, 13
18:45:35, 0352, 00
18:47:25, 9441, 27
18:47:47, 9219, 04
19:16:23, 0277, 24
19:28:28, 4244, 26
19:57:52, 4568, 11
19:59:02, 6486, 09
20:14:36, 8993, 27
20:20:03, 9850, 07
20:20:14, 8639, 11
20:26:50, 2995, 17
21:02:22, 9253, 01
21:12:07, 6546, 17
21:13:42, 5062, 00
21:14:52, 8363, 01
21:35:15, 0395, 10
22:10:09, 3780, 10
22:27:40, 3223, 18
22:35:50, 3163, 22
22:37:59, 1287, 26
23:18:04, 4808, 07
23:33:43, 6851, 24
23:39:39, 6362, 13
